
Ó³ÏñÃû³Æ                       PID »á»°Ãû              »á»°#       ÄÚ´æÊ¹ÓÃ 
chrome.exe                   55000 Console                    1     39,416 K
v2rayN.exe                   58748 Console                    1     51,464 K
v2ray_privoxy.exe            55916 Console                    1      7,664 K
Adobe Spaces Helper.exe      51760 Console                    1     15,604 K
CEPHtmlEngine.exe            60040 Console                    1     16,416 K
wv2ray.exe                   62916 Console                    1     12,796 K
CocosCreator.exe             63300 Console                    1     47,460 K
chrome.exe                   63308 Console                    1     14,148 K
WechatBrowser.exe            63320 Console                    1     17,820 K
CocosCreator.exe             63336 Console                    1     38,292 K
CocosDashboard.exe           63352 Console                    1     35,564 K
electron.exe                 63360 Console                    1     26,192 K
Code.exe                     63388 Console                    1     49,200 K
chrome.exe                   55424 Console                    1     26,608 K
WechatBrowser.exe            64388 Console                    1     29,456 K
WechatBrowser.exe            64072 Console                    1     19,304 K
chrome.exe                   56356 Console                    1     44,124 K
chrome.exe                   64108 Console                    1     21,032 K
chrome.exe                   55028 Console                    1     57,708 K
chrome.exe                   64024 Console                    1     34,984 K
chrome.exe                   64096 Console                    1     19,088 K
chrome.exe                   63372 Console                    1     21,836 K
chrome.exe                   64348 Console                    1     19,212 K
chrome.exe                   60532 Console                    1     19,388 K
chrome.exe                   63084 Console                    1     18,568 K
chrome.exe                   62188 Console                    1     19,604 K
chrome.exe                   59132 Console                    1     16,428 K
chrome.exe                   52208 Console                    1     22,552 K
chrome.exe                   51144 Console                    1     18,112 K
chrome.exe                   56596 Console                    1     18,264 K
chrome.exe                   61352 Console                    1     20,100 K
chrome.exe                   64412 Console                    1     23,968 K
chrome.exe                   62052 Console                    1     29,656 K
chrome.exe                   64012 Console                    1     18,544 K
chrome.exe                   62332 Console                    1     20,592 K
chrome.exe                   63456 Console                    1     17,960 K
chrome.exe                   62912 Console                    1     17,744 K
chrome.exe                   64520 Console                    1     20,828 K
chrome.exe                   64528 Console                    1     19,344 K
chrome.exe                   64536 Console                    1     21,372 K
chrome.exe                   64548 Console                    1     17,256 K
chrome.exe                   64976 Console                    1     19,972 K
chrome.exe                   65120 Console                    1     17,704 K
chrome.exe                   65472 Console                    1     17,596 K
chrome.exe                   65488 Console                    1     16,000 K
chrome.exe                   63156 Console                    1     17,456 K
chrome.exe                   63140 Console                    1     17,020 K
chrome.exe                   63164 Console                    1     17,404 K
chrome.exe                   65544 Console                    1     16,992 K
chrome.exe                   65664 Console                    1     16,040 K
chrome.exe                   65840 Console                    1     18,472 K
chrome.exe                   66196 Console                    1     18,440 K
chrome.exe                   66204 Console                    1     17,424 K
chrome.exe                   66064 Console                    1     16,272 K
chrome.exe                   61196 Console                    1     16,228 K
chrome.exe                   66968 Console                    1     17,976 K
chrome.exe                   67136 Console                    1     80,632 K
chrome.exe                   68520 Console                    1     63,176 K
CocosCreator.exe             35848 Console                    1    159,032 K
CocosCreator.exe             63280 Console                    1     68,636 K
CocosCreator.exe             67500 Console                    1     34,876 K
CocosCreator.exe             67752 Console                    1     59,952 K
CocosCreator.exe             65184 Console                    1     82,048 K
CocosCreator.exe             57816 Console                    1     54,376 K
CocosCreator.exe             67836 Console                    1     78,060 K
CocosCreator.exe             64928 Console                    1    166,384 K
CocosCreator.exe             51800 Console                    1     94,456 K
CocosCreator.exe             64048 Console                    1     66,776 K
pacjsworker.exe              67656 Services                   0     12,760 K
chrome.exe                   58460 Console                    1    100,536 K
START.exe                    66992 Console                    1     73,964 K
QCefWing.exe                 42100 Console                    1     80,188 K
stgame.exe                   64480 Console                    1    112,916 K
electron.exe                 69908 Console                    1     59,408 K
electron.exe                 70000 Console                    1     53,544 K
audiodg.exe                  69468 Services                   0     14,284 K
DeskPins.exe                 57496 Console                    1     16,824 K
chrome.exe                   69284 Console                    1     20,252 K
smartscreen.exe              63132 Console                    1     24,120 K
SGTool.exe                   68580 Console                    1     23,280 K
cmd.exe                      70472 Console                    1      4,336 K
conhost.exe                  69744 Console                    1     10,996 K
tasklist.exe                 67712 Console                    1      8,588 K
WmiPrvSE.exe                 70260 Services                   0     10,348 K
